																																																																																																																																																																																																									
																																																																																																																																																																																																									
																																																																																																																																																																																																									
																																																																																																																																																																																																									
																																																																																																																																																																																																									
Spectrum	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135	136	137	138	139	140	141	142	143	144	145	146	147	148	149	150	151	152	153	154	155	156	157	158	159	160	161	162	163	164	165	166	167	168	169	170	171	172	173	174	175	176	177	178	179	180	181	182	183	184	185	186	187	188	189	190	191	192	193	194	195	196	197	198	199	200	
																																																																																																																																																																																																									
																																																																																																																																																																																																									
Mass	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	
[u]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	
																																																																																																																																																																																																									
																																																																																																																																																																																																									
234.0249	5339.0	6165.0	5552.0	6402.0	5352.0	6390.0	5402.0	5639.0	5464.0	5477.0	6065.0	5702.0	5702.0	5327.0	5452.0	5314.0	5877.0	6052.0	5364.0	5502.0	5764.0	6352.0	5527.0	5914.0	6102.0	5664.0	5939.0	6377.0	6277.0	5814.0	5902.0	5902.0	5127.0	5939.0	5164.0	5614.0	5977.0	5839.0	5539.0	5164.0	5464.0	6152.0	5502.0	5752.0	5952.0	5864.0	5639.0	5964.0	5252.0	6027.0	5814.0	4876.0	5739.0	5614.0	5877.0	6815.0	5289.0	5677.0	6014.0	5439.0	5239.0	5202.0	5852.0	5214.0	5489.0	5189.0	6202.0	5614.0	5977.0	5052.0	5639.0	5489.0	5614.0	5889.0	5327.0	5802.0	5652.0	5664.0	5877.0	6177.0	5952.0	5314.0	5952.0	5977.0	6352.0	5052.0	6115.0	6127.0	4951.0	5489.0	5602.0	5964.0	5964.0	5452.0	5864.0	5464.0	4851.0	5777.0	6252.0	5639.0	6152.0	5452.0	6002.0	5377.0	6052.0	6027.0	5639.0	6014.0	5327.0	5552.0	5014.0	6165.0	6140.0	5864.0	4914.0	5864.0	5977.0	5552.0	6252.0	6315.0	5552.0	5314.0	5714.0	5364.0	5577.0	5352.0	5977.0	5464.0	5339.0	5002.0	4601.0	5989.0	5652.0	5902.0	5739.0	5302.0	5489.0	5814.0	5102.0	5527.0	5877.0	5214.0	5939.0	6102.0	6165.0	5627.0	5227.0	5652.0	5289.0	5639.0	5539.0	5214.0	6115.0	5964.0	5752.0	5627.0	5527.0	5577.0	6390.0	5814.0	5764.0	6115.0	5614.0	4939.0	5814.0	4851.0	5564.0	5214.0	5089.0	5727.0	4701.0	5239.0	5439.0	5589.0	5477.0	5414.0	6377.0	5539.0	5739.0	5514.0	5427.0	5152.0	5339.0	5727.0	5189.0	5764.0	5752.0	6027.0	5652.0	5139.0	5602.0	5839.0	5739.0	5339.0	6477.0	5689.0	5714.0	5927.0	5139.0	5452.0	
234.0327	5427.0	5664.0	5577.0	5714.0	5214.0	5964.0	5677.0	5452.0	5639.0	5227.0	5802.0	6014.0	5964.0	5702.0	5102.0	5939.0	5614.0	6090.0	5152.0	5302.0	5664.0	5227.0	5352.0	5989.0	5977.0	5652.0	5314.0	5964.0	5777.0	5439.0	5502.0	5977.0	6065.0	5252.0	4926.0	5252.0	5914.0	5327.0	5877.0	5639.0	5652.0	5877.0	5389.0	5377.0	6140.0	5327.0	5289.0	5577.0	5739.0	5839.0	5489.0	5527.0	5577.0	5602.0	5727.0	5614.0	5977.0	5077.0	6265.0	4614.0	5627.0	5877.0	5464.0	5689.0	5602.0	5314.0	5752.0	5514.0	5664.0	5452.0	6515.0	6615.0	5727.0	5714.0	5914.0	5927.0	5402.0	5752.0	5739.0	5314.0	5302.0	5464.0	5464.0	5752.0	5739.0	5939.0	5652.0	5964.0	5202.0	6315.0	6165.0	5764.0	5289.0	5389.0	5702.0	5664.0	5189.0	5064.0	5739.0	5877.0	6090.0	6140.0	6065.0	6377.0	5527.0	5714.0	6290.0	5589.0	5814.0	5627.0	6040.0	5664.0	5302.0	5464.0	5939.0	5139.0	5689.0	5039.0	5264.0	5564.0	5864.0	6240.0	5564.0	5702.0	5539.0	5852.0	5202.0	5639.0	6065.0	5514.0	5314.0	6102.0	5102.0	5664.0	5814.0	6315.0	5577.0	5177.0	5702.0	5152.0	5527.0	5602.0	6115.0	6427.0	6127.0	5502.0	5789.0	5439.0	6140.0	4964.0	5677.0	5439.0	5314.0	6415.0	4839.0	5789.0	5052.0	6165.0	5502.0	5277.0	5489.0	5427.0	6052.0	5214.0	5102.0	6302.0	6402.0	6014.0	4964.0	5264.0	5714.0	5689.0	5252.0	5289.0	5652.0	5502.0	6077.0	5314.0	6365.0	5077.0	6440.0	6202.0	5752.0	5977.0	5527.0	5902.0	5777.0	6115.0	5789.0	5452.0	5427.0	4889.0	6065.0	5402.0	5602.0	5289.0	6127.0	5452.0	5814.0	5927.0	
234.0405	5989.0	6090.0	5064.0	5439.0	5264.0	5452.0	5552.0	5227.0	5039.0	5589.0	5289.0	5639.0	5802.0	6665.0	5502.0	5464.0	6177.0	5027.0	5627.0	5377.0	5914.0	5452.0	5839.0	6140.0	5927.0	5589.0	5652.0	5464.0	5902.0	5514.0	6290.0	5614.0	6290.0	5614.0	6140.0	5577.0	5689.0	5377.0	5677.0	5839.0	5614.0	5339.0	6014.0	5839.0	6427.0	6077.0	5227.0	5152.0	5814.0	5627.0	5364.0	5564.0	5414.0	5902.0	5927.0	5764.0	5627.0	5377.0	5777.0	5977.0	5514.0	5327.0	5989.0	5164.0	6027.0	5864.0	5777.0	5239.0	6365.0	6140.0	5427.0	5664.0	5127.0	5764.0	5214.0	5614.0	6265.0	6165.0	6102.0	5439.0	5802.0	6077.0	5752.0	5752.0	5889.0	5589.0	6215.0	5402.0	5839.0	5189.0	6740.0	6014.0	6415.0	5614.0	5839.0	6802.0	5702.0	5702.0	5764.0	5039.0	5377.0	5102.0	5552.0	5227.0	5977.0	5714.0	5627.0	6165.0	5702.0	6402.0	5827.0	6452.0	5614.0	5327.0	5964.0	6014.0	4951.0	5902.0	6202.0	5939.0	6527.0	5864.0	6202.0	6202.0	5714.0	5864.0	5602.0	5602.0	5177.0	6227.0	5152.0	5914.0	5602.0	4989.0	6127.0	5664.0	5264.0	5827.0	5789.0	5602.0	5752.0	5789.0	6102.0	5914.0	5302.0	5739.0	6090.0	5852.0	5514.0	5802.0	5677.0	5702.0	5814.0	6102.0	5864.0	6377.0	5752.0	6014.0	6227.0	6040.0	5539.0	5202.0	6315.0	5439.0	5652.0	5489.0	5852.0	5902.0	6177.0	6340.0	5014.0	6477.0	5177.0	5714.0	5627.0	5489.0	6090.0	5777.0	6077.0	5277.0	5727.0	5264.0	6502.0	5552.0	6077.0	5327.0	5389.0	5689.0	5314.0	6052.0	5902.0	5664.0	6127.0	5802.0	5177.0	5477.0	5514.0	4539.0	5564.0	5652.0	
234.0483	5414.0	6215.0	5802.0	6177.0	5689.0	6002.0	5177.0	6165.0	5839.0	5889.0	5777.0	5177.0	6165.0	5214.0	5864.0	6014.0	5852.0	5764.0	6427.0	5477.0	5689.0	5939.0	6865.0	6402.0	6265.0	6590.0	5677.0	5939.0	5077.0	5639.0	5177.0	5714.0	5614.0	5727.0	5414.0	5302.0	6140.0	6090.0	5389.0	5577.0	5752.0	5339.0	5977.0	5514.0	5614.0	5839.0	5939.0	5314.0	5814.0	5964.0	5964.0	5389.0	5939.0	5677.0	5389.0	5364.0	5602.0	5739.0	5802.0	6027.0	5502.0	5639.0	5639.0	5164.0	5902.0	5589.0	6302.0	6052.0	5839.0	6415.0	5389.0	5289.0	6252.0	5327.0	5852.0	5827.0	5189.0	6077.0	6215.0	6090.0	5389.0	5914.0	6215.0	5252.0	5727.0	5902.0	6127.0	5477.0	5452.0	5352.0	5502.0	5414.0	6502.0	5514.0	5452.0	6140.0	6265.0	6402.0	5364.0	6065.0	5952.0	5839.0	5814.0	5602.0	6052.0	5389.0	5789.0	5914.0	5264.0	5814.0	5202.0	5339.0	5427.0	5739.0	5727.0	5852.0	5639.0	5252.0	5614.0	6202.0	5602.0	5827.0	6352.0	5727.0	5814.0	6177.0	5077.0	5777.0	5939.0	5552.0	5777.0	5902.0	5439.0	5402.0	6377.0	6102.0	5777.0	5527.0	5089.0	5752.0	6090.0	6465.0	6014.0	5852.0	6190.0	5814.0	6190.0	6702.0	5464.0	5077.0	6377.0	5114.0	5889.0	6040.0	6227.0	5664.0	5864.0	5852.0	5977.0	5827.0	5539.0	6515.0	5827.0	5589.0	6052.0	5539.0	5627.0	5939.0	5652.0	6040.0	6152.0	6052.0	5539.0	6165.0	5389.0	5552.0	6052.0	6014.0	6440.0	5177.0	6215.0	5327.0	5552.0	6027.0	5177.0	5277.0	5202.0	5602.0	5314.0	5977.0	6202.0	5302.0	5314.0	5677.0	5652.0	5389.0	5377.0	5864.0	5914.0	5539.0	
